state,year,offense,count
MT,2013,motor-vehicle-theft,1715
MT,2013,property-crime,25915
MT,2013,rape,399
MT,2013,robbery,207
MT,2013,violent-crime,2284
MT,2014,aggravated-assault,1698
MT,2014,arson,124
MT,2014,burglary,3166
MT,2014,homicide,26
MT,2014,larceny,20064
MT,2014,motor-vehicle-theft,1787
MT,2014,property-crime,25141
MT,2014,rape,467
MT,2014,robbery,185
MT,2014,violent-crime,2376
MT,2015,aggravated-assault,2064
MT,2015,arson,139
MT,2015,burglary,3602
MT,2015,homicide,29
MT,2015,larceny,21748
MT,2015,motor-vehicle-theft,2345
MT,2015,property-crime,27834
MT,2015,rape,529
MT,2015,robbery,196
MT,2015,violent-crime,2818
MT,2016,aggravated-assault,2182
MT,2016,arson,165
MT,2016,burglary,3732
MT,2016,homicide,22
MT,2016,larceny,22397
MT,2016,motor-vehicle-theft,2530
MT,2016,property-crime,28824
MT,2016,rape,558
MT,2016,robbery,230
MT,2016,violent-crime,2992
MT,2017,aggravated-assault,2242
MT,2017,arson,161
MT,2017,burglary,3424
MT,2017,homicide,30
MT,2017,larceny,21932
MT,2017,motor-vehicle-theft,2507
MT,2017,property-crime,28024
MT,2017,rape,601
MT,2017,robbery,193
MT,2017,violent-crime,3066
MT,2018,aggravated-assault,2319
MT,2018,arson,113
MT,2018,burglary,3051
MT,2018,homicide,26
MT,2018,larceny,21297
MT,2018,motor-vehicle-theft,2672
MT,2018,property-crime,27133
MT,2018,rape,514
MT,2018,robbery,240
MT,2018,violent-crime,3099
ND,1991,aggravated-assault,138
ND,1991,arson,76
ND,1991,burglary,1640
ND,1991,homicide,3
ND,1991,larceny,9074
ND,1991,motor-vehicle-theft,612
ND,1991,property-crime,11402
ND,1991,rape,131
ND,1991,robbery,34
ND,1991,violent-crime,306
ND,1992,aggravated-assault,151
ND,1992,arson,78
ND,1992,burglary,1741
ND,1992,homicide,5
ND,1992,larceny,10489
ND,1992,motor-vehicle-theft,669
ND,1992,property-crime,12977
ND,1992,rape,137
ND,1992,robbery,42
ND,1992,violent-crime,335
ND,1993,aggravated-assault,154
ND,1993,arson,98
ND,1993,burglary,1735
ND,1993,homicide,8
ND,1993,larceny,10737
ND,1993,motor-vehicle-theft,747
ND,1993,property-crime,13317
ND,1993,rape,131
ND,1993,robbery,45
