index,state,year,offense,count
6301,KS,2007,homicide,68
3403,KS,2007,larceny,53125
4879,KS,2007,motor-vehicle-theft,5091
13615,KS,2007,property-crime,73541
7749,KS,2007,rape,1239
9215,KS,2007,robbery,1082
12125,KS,2007,violent-crime,7500
450,KS,2008,aggravated-assault,5023
10648,KS,2008,arson,794
1922,KS,2008,burglary,14320
6302,KS,2008,homicide,69
3404,KS,2008,larceny,49774
4880,KS,2008,motor-vehicle-theft,4496
13616,KS,2008,property-crime,69384
7750,KS,2008,rape,1197
9216,KS,2008,robbery,978
12126,KS,2008,violent-crime,7267
451,KS,2009,aggravated-assault,4887
10649,KS,2009,arson,790
1923,KS,2009,burglary,13644
6303,KS,2009,homicide,67
3405,KS,2009,larceny,45910
4881,KS,2009,motor-vehicle-theft,3623
13617,KS,2009,property-crime,63967
7751,KS,2009,rape,1164
9217,KS,2009,robbery,1004
12127,KS,2009,violent-crime,7122
452,KS,2010,aggravated-assault,4786
10650,KS,2010,arson,659
1924,KS,2010,burglary,14158
6304,KS,2010,homicide,54
3406,KS,2010,larceny,46194
4882,KS,2010,motor-vehicle-theft,3750
13618,KS,2010,property-crime,64761
7752,KS,2010,rape,1173
9218,KS,2010,robbery,939
12128,KS,2010,violent-crime,6952
453,KS,2011,aggravated-assault,4624
10651,KS,2011,arson,679
1925,KS,2011,burglary,13694
6305,KS,2011,homicide,62
3407,KS,2011,larceny,46985
4883,KS,2011,motor-vehicle-theft,4245
13619,KS,2011,property-crime,65603
7753,KS,2011,rape,1123
9219,KS,2011,robbery,863
12129,KS,2011,violent-crime,6672
454,KS,2012,aggravated-assault,4787
10652,KS,2012,arson,689
1926,KS,2012,burglary,14006
6306,KS,2012,homicide,52
3408,KS,2012,larceny,49492
4884,KS,2012,motor-vehicle-theft,4413
13620,KS,2012,property-crime,68600
7754,KS,2012,rape,1168
9220,KS,2012,robbery,900
12130,KS,2012,violent-crime,6907
455,KS,2013,aggravated-assault,4475
10653,KS,2013,arson,486
1927,KS,2013,burglary,12988
6307,KS,2013,homicide,64
3409,KS,2013,larceny,46163
4885,KS,2013,motor-vehicle-theft,4467
13621,KS,2013,property-crime,64104
7755,KS,2013,rape,1032
9221,KS,2013,robbery,856
12131,KS,2013,violent-crime,6427
456,KS,2014,aggravated-assault,4342
10654,KS,2014,arson,520
1928,KS,2014,burglary,11405
6308,KS,2014,homicide,51
3410,KS,2014,larceny,40457
4886,KS,2014,motor-vehicle-theft,4396
13622,KS,2014,property-crime,56778
7756,KS,2014,rape,968
9222,KS,2014,robbery,809
12132,KS,2014,violent-crime,6170
457,KS,2015,aggravated-assault,4535
10655,KS,2015,arson,536
1929,KS,2015,burglary,10838
6309,KS,2015,homicide,74
3411,KS,2015,larceny,39446
4887,KS,2015,motor-vehicle-theft,4377
13623,KS,2015,property-crime,55197
7757,KS,2015,rape,1080
9223,KS,2015,robbery,1090
12133,KS,2015,violent-crime,6779
458,KS,2016,aggravated-assault,4840
10656,KS,2016,arson,508
1930,KS,2016,burglary,10468
6310,KS,2016,homicide,70
3412,KS,2016,larceny,41364
4888,KS,2016,motor-vehicle-theft,4735
13624,KS,2016,property-crime,57075
7758,KS,2016,rape,1088
9224,KS,2016,robbery,1021
12134,KS,2016,violent-crime,7019
459,KS,2017,aggravated-assault,5113
10657,KS,2017,arson,541
1931,KS,2017,burglary,10388
6311,KS,2017,homicide,88
3413,KS,2017,larceny,43172
4889,KS,2017,motor-vehicle-theft,5341
13625,KS,2017,property-crime,59442
7759,KS,2017,rape,1168
9225,KS,2017,robbery,1009
12135,KS,2017,violent-crime,7378
460,KS,2018,aggravated-assault,5579
10658,KS,2018,arson,580
1932,KS,2018,burglary,9531
6312,KS,2018,homicide,84
3414,KS,2018,larceny,40189
4890,KS,2018,motor-vehicle-theft,5604
13626,KS,2018,property-crime,55904
7760,KS,2018,rape,1198
9226,KS,2018,robbery,905
12136,KS,2018,violent-crime,7766
480,KY,1998,aggravated-assault,187
10678,KY,1998,arson,8
1952,KY,1998,burglary,414
6332,KY,1998,homicide,2
3434,KY,1998,larceny,1864
4910,KY,1998,motor-vehicle-theft,133
13646,KY,1998,property-crime,2419
7780,KY,1998,rape,30
9246,KY,1998,robbery,62
12156,KY,1998,violent-crime,281
481,KY,1999,aggravated-assault,242
10679,KY,1999,arson,7
1953,KY,1999,burglary,508
6333,KY,1999,homicide,4
3435,KY,1999,larceny,2075
4911,KY,1999,motor-vehicle-theft,194
13647,KY,1999,property-crime,2784
7781,KY,1999,rape,29
9247,KY,1999,robbery,47
12157,KY,1999,violent-crime,322
482,KY,2000,aggravated-assault,444
10680,KY,2000,arson,22
1954,KY,2000,burglary,925
6334,KY,2000,homicide,5
3436,KY,2000,larceny,3957
4912,KY,2000,motor-vehicle-theft,361
13648,KY,2000,property-crime,5265
7782,KY,2000,rape,41
9248,KY,2000,robbery,103
12158,KY,2000,violent-crime,593
483,KY,2001,aggravated-assault,473
10681,KY,2001,arson,35
1955,KY,2001,burglary,1018
6335,KY,2001,homicide,5
3437,KY,2001,larceny,3870
4913,KY,2001,motor-vehicle-theft,372
13649,KY,2001,property-crime,5295
7783,KY,2001,rape,74
9249,KY,2001,robbery,86
12159,KY,2001,violent-crime,638
484,KY,2002,aggravated-assault,417
10682,KY,2002,arson,40
1956,KY,2002,burglary,1603
6336,KY,2002,homicide,8
3438,KY,2002,larceny,6111
4914,KY,2002,motor-vehicle-theft,474
13650,KY,2002,property-crime,8228
7784,KY,2002,rape,90
9250,KY,2002,robbery,115
12160,KY,2002,violent-crime,630
485,KY,2003,aggravated-assault,416
10683,KY,2003,arson,42
1957,KY,2003,burglary,1594
6337,KY,2003,homicide,9
3439,KY,2003,larceny,6314
4915,KY,2003,motor-vehicle-theft,476
13651,KY,2003,property-crime,8426
7785,KY,2003,rape,112
9251,KY,2003,robbery,111
12161,KY,2003,violent-crime,648
486,KY,2004,aggravated-assault,411
10684,KY,2004,arson,37
1958,KY,2004,burglary,1517
6338,KY,2004,homicide,10
3440,KY,2004,larceny,6341
4916,KY,2004,motor-vehicle-theft,435
13652,KY,2004,property-crime,8330
7786,KY,2004,rape,131
9252,KY,2004,robbery,122
12162,KY,2004,violent-crime,674
487,KY,2005,aggravated-assault,336
10685,KY,2005,arson,41
1959,KY,2005,burglary,1407
6339,KY,2005,homicide,8
3441,KY,2005,larceny,6056
4917,KY,2005,motor-vehicle-theft,442
13653,KY,2005,property-crime,7946
7787,KY,2005,rape,148
9253,KY,2005,robbery,129
12163,KY,2005,violent-crime,621
488,KY,2006,aggravated-assault,304
10686,KY,2006,arson,59
1960,KY,2006,burglary,1887
6340,KY,2006,homicide,13
3442,KY,2006,larceny,7142
4918,KY,2006,motor-vehicle-theft,554
13654,KY,2006,property-crime,9642
7788,KY,2006,rape,171
9254,KY,2006,robbery,178
12164,KY,2006,violent-crime,666
489,KY,2007,aggravated-assault,250
10687,KY,2007,arson,55
1961,KY,2007,burglary,1499
6341,KY,2007,homicide,7
3443,KY,2007,larceny,6359
4919,KY,2007,motor-vehicle-theft,448
13655,KY,2007,property-crime,8361
7789,KY,2007,rape,119
9255,KY,2007,robbery,176
12165,KY,2007,violent-crime,552
490,KY,2008,aggravated-assault,248
10688,KY,2008,arson,45
1962,KY,2008,burglary,1718
6342,KY,2008,homicide,8
3444,KY,2008,larceny,6995
4920,KY,2008,motor-vehicle-theft,397
